date,amount,category,description,notes
2026-01-02,39.00,Entertainment,Netflix,
2026-01-05,19.00,Entertainment,Spotify,
2026-01-10,15.00,Entertainment,YouTube Premium,
2026-01-12,45.00,Entertainment,Cinema,
2026-01-18,40.00,Entertainment,Concert,
2026-01-22,20.00,Entertainment,Game pass,
2026-02-02,39.00,Entertainment,Netflix,
2026-02-05,19.00,Entertainment,Spotify,
2026-02-10,15.00,Entertainment,YouTube Premium,
2026-02-12,50.00,Entertainment,Concert ticket,
2026-02-18,40.00,Entertainment,Event,
2026-02-22,20.00,Entertainment,Game pass,
2026-03-02,39.00,Entertainment,Netflix,
2026-03-05,19.00,Entertainment,Spotify,
2026-03-10,15.00,Entertainment,YouTube Premium,
2026-03-12,45.00,Entertainment,Cinema,
2026-03-18,40.00,Entertainment,Concert,
2026-03-22,20.00,Entertainment,Game pass,
